,AD1_AD2,AD3_AD4,AD5_AD6,Ct1_Ct2,Ct3_Ct4,Ct5_Ct6
FO538757.2,0.3333333333333333,0.2553191489361702,0.2978723404255319,0.14457831325301204,0.16764361078546308,0.1426470588235294
AP006222.2,0.010416666666666666,0.0425531914893617,0.02127659574468085,0.04819277108433735,0.05509964830011723,0.051470588235294115
RP5-857K21.4,0.16666666666666666,0.1702127659574468,0.10638297872340426,0.15060240963855423,0.2485345838218054,0.25441176470588234
RP11-206L10.9,0.020833333333333332,0.03404255319148936,0.05673758865248227,0.018072289156626505,0.04220398593200469,0.01911764705882353
NOC2L,0.041666666666666664,0.029787234042553193,0.028368794326241134,0.030120481927710843,0.04806565064478312,0.04411764705882353
HES4,0.020833333333333332,0.00851063829787234,0.014184397163120567,0.12048192771084337,0.1336459554513482,0.09705882352941177
ISG15,0.052083333333333336,0.02553191489361702,0.02127659574468085,0.024096385542168676,0.053927315357561546,0.013235294117647059
AGRN,0.08333333333333333,0.02553191489361702,0.05673758865248227,0.060240963855421686,0.05744431418522861,0.052941176470588235
C1orf159,0.03125,0.04680851063829787,0.02127659574468085,0.060240963855421686,0.07151230949589683,0.04411764705882353
SDF4,0.125,0.05106382978723404,0.11347517730496454,0.08433734939759036,0.0668229777256741,0.06470588235294118
UBE2J2,0.10416666666666667,0.04680851063829787,0.06382978723404255,0.024096385542168676,0.05158264947245018,0.07205882352941176
SCNN1D,0.10416666666666667,0.05106382978723404,0.03546099290780142,0.030120481927710843,0.04806565064478312,0.04852941176470588
ACAP3,0.19791666666666666,0.14468085106382977,0.2127659574468085,0.12048192771084337,0.11371629542790153,0.11029411764705882
CPSF3L,0.2708333333333333,0.10212765957446808,0.19858156028368795,0.06626506024096386,0.0984759671746776,0.11911764705882352
DVL1,0.052083333333333336,0.06808510638297872,0.0425531914893617,0.030120481927710843,0.04337631887456037,0.03676470588235294
MXRA8,0.03125,0.03829787234042553,0.0425531914893617,0.018072289156626505,0.07033997655334115,0.05588235294117647
AURKAIP1,0.08333333333333333,0.08936170212765958,0.02127659574468085,0.07228915662650602,0.08206330597889801,0.045588235294117645
CCNL2,0.3125,0.23829787234042554,0.23404255319148937,0.19879518072289157,0.205158264947245,0.22794117647058823
MRPL20,0.07291666666666667,0.09361702127659574,0.06382978723404255,0.030120481927710843,0.1254396248534584,0.054411764705882354
VWA1,0.1875,0.03829787234042553,0.11347517730496454,0.04819277108433735,0.04689331770222743,0.075
ATAD3B,0.10416666666666667,0.07234042553191489,0.0851063829787234,0.07228915662650602,0.059788980070339975,0.039705882352941174
SSU72,0.10416666666666667,0.03829787234042553,0.07801418439716312,0.06626506024096386,0.07620164126611957,0.04411764705882353
RP11-345P4.9,0.010416666666666666,0.01702127659574468,0.014184397163120567,0.018072289156626505,0.015240328253223915,0.01764705882352941
MIB2,0.07291666666666667,0.03404255319148936,0.06382978723404255,0.03614457831325301,0.059788980070339975,0.051470588235294115
MMP23B,0.010416666666666666,0.03829787234042553,0.014184397163120567,0.03614457831325301,0.041031652989449004,0.03676470588235294
CDK11B,0.0625,0.11063829787234042,0.02127659574468085,0.07228915662650602,0.06096131301289566,0.06323529411764706
CDK11A,0.010416666666666666,0.08936170212765958,0.0,0.04819277108433735,0.015240328253223915,0.01764705882352941
SLC35E2,0.052083333333333336,0.08936170212765958,0.07801418439716312,0.012048192771084338,0.03985932004689332,0.0661764705882353
NADK,0.125,0.04680851063829787,0.0425531914893617,0.018072289156626505,0.04337631887456037,0.045588235294117645
GNB1,0.11458333333333333,0.19574468085106383,0.07092198581560284,0.09036144578313253,0.15240328253223914,0.1161764705882353
GABRD,0.010416666666666666,0.00425531914893617,0.0070921985815602835,0.012048192771084338,0.007033997655334115,0.004411764705882353
PRKCZ,0.10416666666666667,0.00851063829787234,0.014184397163120567,0.006024096385542169,0.015240328253223915,0.016176470588235296
FAAP20,0.041666666666666664,0.03404255319148936,0.09929078014184398,0.07228915662650602,0.059788980070339975,0.041176470588235294
